"","mean","x","y","y_mod","siteid","month","fraction","fraction_mod"
"21",57.1702127659574,1.75716980849745,2.03423189326839,10.6017548075921,"Tororo",21,0.441198362486044,0.232787495347972
"32",55.6185567010309,1.74521971475268,2.61224895512059,23.950153618547,"Tororo",32,0.370342910101946,0.213901760889713
"33",36.96875,1.56783476630802,4.17134887814017,9.42311657567994,"Tororo",33,0.294167371090448,0.237249929557622
"40",2.36263736263736,0.373397067594511,1.12410011622055,-4.47062691555473,"Tororo",40,0.837209302325581,0.13953488372093
