osm_id,code,fclass,population,name,X,Y
369495120,1002,town,0,ß×ƒßƒÆß×Üß×?ß×Çß×Çßƒåß×ûß×äßƒïß×Üßƒäß×æß×Àßƒì,105.94048970000,10.92035900000
369495137,1003,village,0,Nhang T?óy,105.94178890000,10.84221870000
369495263,1003,village,0,ß×èß×?ß×ôß×æß×¢ß×Å,104.65736110000,10.94824420000
369495296,1003,village,0,Toek Sok,102.83620760000,12.51012650000
369495519,1002,town,0,ß×ƒßƒÆß×Üß×?ß×Çß×ÅßƒÆß×Üß×Âßƒåß×Çß×Çßƒï,104.66495990000,11.00658480000
369495533,1003,village,0,ß×àßƒüß×Ç,104.51353920000,11.25888930000
369495566,1003,village,0,ß×ûßƒÆß×Üßƒçß×ÿßƒÆß×øß×ößƒï,104.58579900000,11.20893400000
369495913,1003,village,0,ß×âß×?ßƒåß×ûßƒÆß×Üßƒéß×Çß×Åß×Âß×ôß×äßƒï,105.28461000000,11.90131830000
369495944,1002,town,0,ß×ƒßƒÆß×Üß×?ß×Çß×Çßƒäßƒçß×ƒß×?ß×æß×Àß×ô,105.43994670000,11.88233520000
369496467,1003,village,0,Chumtang Luoch,102.62965290000,12.65830190000
369497396,1002,town,0,ß×ƒßƒÆß×Üß×?ß×Çß×ƒßƒÆß×æß×?ß×äß×áß×Âß×£,103.62171810000,10.74315640000
369497420,1001,city,0,ß×ÇßƒÆß×Üß×?ß×äß×üßƒüß×ÿß×Üß×ùß×?ß×ÿß×Àß×ôßƒÆß×æ,102.98185920000,11.61100950000
369497916,1002,town,0,ß×ƒßƒÆß×Üß×?ß×Çß×æß×?ß×Çß×òß×?ß×ƒ,104.52593240000,12.05206900000
369498086,1003,village,0,ß×ÉßƒÆß×ôß×øßƒïß×ûß×Âß×ÿ,105.81415550000,11.32982790000
369498125,1002,town,0,ß×ƒßƒÆß×Üß×?ß×Çß×Üß×ÿß×Âß×ƒß×áßƒéß×Ç,105.79085730000,11.41244000000
369498619,1003,village,0,ß×ÆßƒÆß×øß×Ç,105.52174710000,11.48316570000
369498655,1003,village,0,ß×âß×?ßƒåß×èß×?ß×ôß×ƒ,105.71519130000,11.22544070000
369498703,1003,village,0,ß×âß×?ßƒåß×ÇßƒÆß×Üß×ƒß×Âßƒåß×ä,105.71324480000,11.52980460000
369499659,1003,village,0,ß×Çßƒåß×öß×Âß×ƒßƒï,106.17733490000,11.93507430000
369499725,1003,village,0,ß×âß×?ßƒåß×ƒßƒÆß×ûß×?,105.33108890000,12.33031480000
369499760,1003,village,0,ß×âß×?ßƒåß×ÇßƒÆß×Üßƒéß×Ç,105.93044380000,11.76674710000
369499782,1002,town,0,ß×ƒßƒÆß×Üß×?ß×Çß×ûß×ëß×Âß×ÇßƒÆß×Üßƒéß×Ç,105.87775370000,11.79374550000
369499918,1002,town,0,Ta Mß?æt,106.46523660000,11.86493020000
369500016,1003,village,0,ß×ÇßƒÆß×èß×?ß×øß×ÇßƒÆß×Üßƒäß×ÿ,106.33769360000,11.89293690000
369500159,1002,town,0,ß×ƒßƒÆß×Üß×?ß×Çß×óß×?ß×Üß×Üß×Âßƒåß×äß×¬,105.50196680000,11.79583980000
369500238,1003,village,0,ß×ûßƒÆß×Üßƒâß×ƒßƒÆß×£ß×Âß×Ö,105.41963500000,11.68089350000
369500291,1003,village,0,ß×âß×?ßƒåß×ûßƒÆß×Üßƒâß×æß×?ß×ä,105.36586580000,11.73275490000
369500326,1003,village,0,ß×óß×ôßƒÆß×øß×äßƒïß×ƒß×Ü,105.36722280000,11.82510000000
369500412,1002,town,0,ß×ƒßƒÆß×Üß×?ß×Çß×Åßƒåß×ößƒéß×Ü,105.89009190000,12.01786260000
369500451,1002,town,0,ß×ÇßƒÆß×Üß×?ß×äÔÇïß×ƒß×¢ß×ä,105.65327550000,11.91148770000
369500461,1003,village,0,ß×âß×?ßƒåß×èß×?ß×ôß×Åß×©,105.72178140000,11.75572500000
369500508,1002,town,0,ß×ƒßƒÆß×Üß×?ß×ÇÔÇïß×Çß×ëßƒÆß×çßƒÆß×ÜßƒÇß×à,105.55816070000,11.68898250000
369500600,1002,town,0,ß×ƒßƒÆß×Üß×?ß×Çß×Çßƒåß×àß×Âß×Öß×ÿß×Âß×Ü,105.66287500000,11.57441820000
369500606,1003,village,0,Dang Kda,105.27373330000,12.59140450000
369500654,1003,village,0,Andong,105.57103160000,12.55927070000
369500772,1003,village,0,ß×óßƒåß×ûß×Àß×ø,105.81143650000,11.64348770000
369500810,1003,village,0,Xa M?ít,105.98589090000,11.66285980000
369500846,1003,village,0,ß×ƒß×?ß×æßƒâ,106.15448670000,11.75298940000
369500902,1003,village,0,ß×âß×?ßƒåß×çß×Âßƒåß×ÇßƒÆß×Üß×£ßƒÇß×ô,106.33871380000,11.76739820000
369500987,1002,town,0,ß×ƒßƒÆß×Üß×?ß×ÇÔÇïß×ÿßƒüß×ÿß×Åßƒï,106.17677760000,11.82253600000
369501043,1003,village,0,ß×ƒß×Âß×æß×?ßƒå,106.37996970000,11.70817190000
369501203,1003,village,0,K?á Tum,106.21613840000,11.66940350000
369501297,1003,village,0,Kbal Chuor,106.03373340000,12.61042390000
369501348,1002,town,0,ß×ƒßƒÆß×Üß×?ß×Çß×Çßƒåß×ûß×äßƒïß×ÅßƒÆß×Üß×íß×Âß×à,104.71362030000,11.93849630000
369501398,1003,village,0,Tbeng Khpuos,104.65624830000,11.79095560000
369501403,1003,village,0,Sandan,106.02928720000,12.69594120000
369501474,1003,village,0,Krieng,105.96830290000,12.63832390000
