"","V1","V2","V3","V4","F1","F2","theta_V1","theta_V2","theta_V3","theta_V4","theta_F1","theta_F2"
"1",0,0,0,0,3,3,0.0189047842183986,0.0211098762976356,0.018386592294813,0.0338330313890022,0.346399570625804,0.161076367643382
"2",0.1,0,0,0,3,3,0.0208208028079352,0.0211262593817566,0.018401916087719,0.0338390103746389,0.346539701540913,0.161252174940208
"3",0.2,0,0,0,3,3,0.0231408273436716,0.0211461270257969,0.0184205014930553,0.0338462631961674,0.346709773360668,0.161465523852503
"4",0.3,0,0,0,3,3,0.02599528311035,0.0211706167045518,0.0184434141854818,0.0338552065649081,0.346919616390869,0.161728731100308
"5",0.4,0,0,0,3,3,0.0295694611174405,0.0212013522520258,0.0184721761054752,0.033866435919312,0.347183299417062,0.162059418348631
"6",0.5,0,0,0,3,3,0.034128597646892,0.0212406732703038,0.0185089812138446,0.0338808102168209,0.347521160434273,0.162483048977719
"7",0,0.1,0,0,3,3,0.0189231345173044,0.0232444333396421,0.018457390095954,0.0338371871999397,0.346496964591363,0.161889377702989
"8",0.1,0.1,0,0,3,3,0.0208409159510419,0.0232622589427244,0.0184726771191064,0.0338431609710726,0.346637017601821,0.162065181549511
"9",0.2,0.1,0,0,3,3,0.0231630260308945,0.0232838753827168,0.0184912176216488,0.0338504073581895,0.346806992255387,0.162278522594052
"10",0.3,0.1,0,0,3,3,0.0260199644924839,0.023310519800392,0.018514074415654,0.033859342598242,0.347016710735731,0.162541713683219
"11",0.4,0.1,0,0,3,3,0.029597105357964,0.0233439580773868,0.0185427651925778,0.0338705613908125,0.347280228751398,0.162872369026261
"12",0.5,0.1,0,0,3,3,0.0341597587546548,0.0233867340070282,0.0185794774596821,0.0338849215048409,0.34761786246843,0.163295937365237
"13",0,0.2,0,0,3,3,0.018945187515879,0.0258236352509857,0.0185425012908642,0.0338421788667142,0.346613988117995,0.162869326161451
"14",0.1,0.2,0,0,3,3,0.0208650868024363,0.0258431307797175,0.0185577422690027,0.0338481462638666,0.346753944885055,0.16304510392836
"15",0.2,0.2,0,0,3,3,0.023189702186748,0.0258667715407477,0.0185762265632327,0.0338553847890347,0.346923799603816,0.16325840893763
"16",0.3,0.2,0,0,3,3,0.0260496226706716,0.025895909911994,0.0185990134242294,0.0338643101023007,0.347133364528917,0.163521547888779
"17",0.4,0.2,0,0,3,3,0.0296303217001284,0.0259324759416053,0.0186276152605073,0.0338755160058317,0.347396679413215,0.16385212387717
"18",0.5,0.2,0,0,3,3,0.0341971976126868,0.0259792492867711,0.0186642115814684,0.0338898588281255,0.347734033872079,0.164275565009018
