"uhhid" "weight"
"1" 101009801 0.195057391228992
"2" 102014401 0.740900837843145
"3" 102019101 0.218248025814602
"4" 103003601 1.0565726685178
"5" 103004301 1.07838732047627
"6" 103007202 1.896068931188
"7" 103008301 0.418402280411888
"8" 103017501 2.25147761000617
"9" 103020201 0.280959597469528
"10" 104007201 0.500922595999599
"11" 105000401 0.545188452231886
"12" 105006801 1.97343726556037
"13" 105007801 0.659202447848281
"14" 107009202 0.283366455664862
"15" 107020201 2.03376223782564
"16" 108001201 1.11186044669221
"17" 109008701 1.57522714437457
"18" 111007302 0.425035787870744
"19" 111008001 0.171136798744321
"20" 112000801 0.712161974010378
"21" 114001102 2.17381255322622
"22" 114002801 0.816529145057412
"23" 114003702 1.05642925447793
"24" 114004201 0.854192397080894
"25" 114004501 1.59480631414587
"26" 114004701 1.91733090266699
"27" 114006801 0.387155492896993
"28" 114007303 0.745678067274036
"29" 114011201 1.15035860846034
"30" 115001701 0.483344245869941
"31" 115007801 1.13561336848384
"32" 116000604 1.84329536591297
"33" 117009902 0.547741118977422
"34" 117010301 0.258680543735835
"35" 117010602 2.57710006755114
"36" 118002402 1.53398504798647
"37" 118003501 0.238883984588468
"38" 118005003 0.932033551396578
"39" 118006501 0.870216747251429
"40" 118007201 0.507422387351672
"41" 118009801 0.738019548363272
"42" 118010301 0.455577579731408
"43" 119000901 0.538979415403472
"44" 119005003 1.26639549805692
"45" 119008702 0.872664525847793
"46" 120000201 1.30837878422823
"47" 120005401 0.869517241107332
"48" 122007301 1.10381648038568
"49" 123006201 1.14662806043782
"50" 124001001 3.68158927544024
"51" 124003601 0.357902126977063
"52" 125002201 2.3678477704758
"53" 125005001 1.59524321474377
"54" 125006301 1.85117110451681
"55" 126002301 0.588500633405262
"56" 126002501 2.45638690153024
"57" 126003301 2.07657854135166
"58" 126011401 1.46264767135024
"59" 128001701 1.23128330234267
"60" 128003501 1.5358782128098
"61" 128003902 0.769257239407002
"62" 128011103 0.321741430680868
"63" 129006901 0.819579629555951
"64" 129008005 2.21692405222054
"65" 130005601 1.46062348253118
"66" 130008901 2.3540205297331
"67" 131008105 0.899497690033209
"68" 131009502 1.73379179901672
"69" 131011801 1.14626495082562
"70" 131015301 0.6170355852208
"71" 132005501 1.08391783495279
"72" 132006402 0.713476785175817
"73" 132007701 0.320270524797596
"74" 132012601 1.09420164606952
"75" 132016301 3.71820607070491
"76" 134001001 0.59120920295513
"77" 134002801 1.49533362512996
"78" 134002901 0.347709625627881
"79" 134007502 1.03949886113829
"80" 134007801 0.675342102420878
"81" 134010901 0.316782202541403
"82" 134011901 0.599777185786679
"83" 135002401 0.70303072416292
"84" 136003102 0.43645827226247
"85" 137000401 0.672755895482961
"86" 137004001 0.956654090411787
"87" 137005902 1.09445566001853
"88" 138000401 0.463245795142221
"89" 138000501 0.345025894425502
"90" 138002001 0.109341869909935
"91" 138003901 0.314532267953874
"92" 140005401 0.186565270745706
"93" 140005701 0.323342236595939
"94" 140005904 0.190690462549286
"95" 141001901 0.449782918285781
"96" 141005201 0.408640901024736
"97" 141012301 0.736307019969641
"98" 141014803 0.605671808582181
"99" 141016501 0.325538776761066
"100" 141017201 0.594490581717715
"101" 143000601 1.47483238622864
"102" 143001101 0.811350579601986
"103" 143006601 0.500569668655161
"104" 143006701 0.769830577229097
"105" 143009503 1.01922868960882
"106" 145001701 0.838961522976673
"107" 146001002 1.0772427504943
